date,institution_type,payment_system,currency,country,average_daily_settlement_value_usd,peak_daily_settlement_value_usd,prefunding_required_usd,collateral_required_usd,settlement_account_balance_usd,intraday_credit_used_usd,liquidity_buffer_usd,cost_of_capital_pct,interest_rate_pct,opportunity_cost_usd,source_id,bis_system,bis_system_type,bis_year,observed_vs_estimated_flag,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,official_vs_manual_flag,mock_data_flag,credibility_tier,data_quality_score,data_quality_grade,confidence_score
2024-12-31,settlement_bank,"Indonesia - Value of All Transactions in Bank Indonesia Real Time Gross Settlement (BI - RTGS), Payment systems, large-v",USD,Indonesia,1227222207950685.0,1656749980733424.8,73633332477041.1,18408333119260.273,29453332990816.44,98177776636054.8,11044999871556.164,0.0362,,,bis_cpmi,ID1P,A,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,settlement_bank,"Korea - Value of All Transactions in BOK-Wire+, Payment systems, large-value",USD,South Korea,414141726087671.25,559091330218356.25,24848503565260.273,6212125891315.068,9939401426104.11,33131338087013.7,3727275534789.041,0.0362,,,bis_cpmi,KR1P,A,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,settlement_bank,"India - Value of All Contracts and transactions in NSCCL, Central counterparties/clearing houses, settled in All / Total",USD,India,314482209739726.0,424550983148630.1,18868932584383.56,4717233146095.89,7547573033753.424,25158576779178.08,2830339887657.5337,0.0362,,,bis_cpmi,IN2C,U,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,settlement_bank,"Japan - Value of All Contracts and transactions in Japan Securities Clearing Corporation, Central counterparties/clearin",USD,Japan,219657161326027.4,296537167790137.0,13179429679561.645,3294857419890.411,5271771871824.658,17572572906082.191,1976914451934.2463,0.0362,,,bis_cpmi,JP1C,U,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,settlement_bank,"Japan - Value of All Transactions in BOJ-NET, Payment systems, large-value",USD,Japan,156961317539726.03,211897778678630.16,9417679052383.562,2354419763095.8906,3767071620953.426,12556905403178.082,1412651857857.5344,0.0362,,,bis_cpmi,JP1P,A,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,payment_system,"Japan - Value of All Delivery instructions in BOJ-NET JGB Services, Central securities depositories, settled in All / To",USD,Japan,96855678351452.06,130755165774460.3,11622681402174.246,2905670350543.5615,4649072560869.698,7748454268116.165,1743402210326.137,0.0362,,,bis_cpmi,JP1S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,payment_system,"Korea - Value of All Transactions in Interbank Shared Networks, Payment systems, retail",USD,South Korea,96554522257534.23,130348605047671.23,11586542670904.11,2896635667726.0273,4634617068361.644,7724361780602.74,1737981400635.6165,0.0362,,,bis_cpmi,KR3P,B,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,payment_system,"Indonesia - Value of All Delivery instructions in Bank Indonesia Scripless Securities Settlement System (BI-SSSS), Centr",USD,Indonesia,70620391854794.52,95337529003972.6,8474447022575.342,2118611755643.8352,3389778809030.1367,5649631348383.562,1271167053386.3013,0.0362,,,bis_cpmi,ID2S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,settlement_bank,"Argentina - Value of All Transactions in MEP - Medio Electronico de Pagos, Payment systems, large-value",USD,Argentina,34481141622169.863,46549541189929.32,2068868497330.1917,517217124332.5479,827547398932.0767,2758491329773.59,310330274599.52875,0.0362,,,bis_cpmi,AR1P,A,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
2024-12-31,payment_system,"India - Value of Delivery instructions, DVP trades in NDS-SSS, Central securities depositories, settled in All / Total",USD,India,28918201565235.617,39039572113068.086,3470184187828.274,867546046957.0685,1388073675131.3096,2313456125218.8496,520527628174.2411,0.0362,,,bis_cpmi,IN1S,V,2024,observed,BIS CPMI Reports and Datasets,https://www.bis.org/cpmi/,Bank for International Settlements,,2026-05-31,,annual,Coverage varies by jurisdiction; not all rails reported uniformly.,settlement_lab/data/raw/bis_cpmi/cpmi_settlement_liquidity.csv,95a54d124c8249d519e3b8156633e498886f7a930b07409c6be9181719e9a4f1,settlement_lab/src/data/build_dataset.py,settlement-lab-credible-1.0,official,False,1,86,Research grade,0.86
